x,E,N,z
5.643752629,255076.9198,4208577.537,3766.908447
5.673301072,255076.9472,4208577.548,3766.907715
5.702849515,255076.9745,4208577.559,3766.905518
5.732397958,255077.0019,4208577.57,3766.904541
5.761946401,255077.0293,4208577.581,3766.903809
5.791494844,255077.0567,4208577.592,3766.902588
5.821043288,255077.084,4208577.603,3766.9021
5.850591731,255077.1114,4208577.615,3766.901367
5.880140174,255077.1388,4208577.626,3766.900879
5.909688617,255077.1662,4208577.637,3766.900635
5.93923706,255077.1935,4208577.648,3766.900391
5.968785503,255077.2209,4208577.659,3766.899658
5.998333946,255077.2483,4208577.67,3766.89917
6.027882389,255077.2757,4208577.681,3766.897705
6.057430832,255077.303,4208577.692,3766.89502
6.086979275,255077.3304,4208577.704,3766.893799
6.116527718,255077.3578,4208577.715,3766.890381
6.146076161,255077.3852,4208577.726,3766.888916
6.175624605,255077.4125,4208577.737,3766.885254
6.205173048,255077.4399,4208577.748,3766.881592
6.234721491,255077.4673,4208577.759,3766.879639
6.264269934,255077.4947,4208577.77,3766.875488
6.293818377,255077.522,4208577.781,3766.873047
6.32336682,255077.5494,4208577.793,3766.868164
6.352915263,255077.5768,4208577.804,3766.863281
6.382463706,255077.6042,4208577.815,3766.859131
6.412012149,255077.6316,4208577.826,3766.853516
6.441560592,255077.6589,4208577.837,3766.848877
6.471109035,255077.6863,4208577.848,3766.844238
6.500657478,255077.7137,4208577.859,3766.840088
6.530205922,255077.7411,4208577.87,3766.835205
6.559754365,255077.7684,4208577.882,3766.830566
6.589302808,255077.7958,4208577.893,3766.822998
6.618851251,255077.8232,4208577.904,3766.815674
6.648399694,255077.8506,4208577.915,3766.805664
6.677948137,255077.8779,4208577.926,3766.79834
6.70749658,255077.9053,4208577.937,3766.790283
6.737045023,255077.9327,4208577.948,3766.779297
6.766593466,255077.9601,4208577.959,3766.771484
6.796141909,255077.9874,4208577.97,3766.760498
6.825690352,255078.0148,4208577.982,3766.752686
6.855238795,255078.0422,4208577.993,3766.744629
6.884787239,255078.0696,4208578.004,3766.736816
6.914335682,255078.0969,4208578.015,3766.729248
6.943884125,255078.1243,4208578.026,3766.721924
6.973432568,255078.1517,4208578.037,3766.714355
7.002981011,255078.1791,4208578.048,3766.706543
7.032529454,255078.2064,4208578.059,3766.700439
7.062077897,255078.2338,4208578.071,3766.693115
7.09162634,255078.2612,4208578.082,3766.6875
7.121174783,255078.2886,4208578.093,3766.680176
7.150723226,255078.3159,4208578.104,3766.672852
7.180271669,255078.3433,4208578.115,3766.66748
7.209820112,255078.3707,4208578.126,3766.659424
7.239368556,255078.3981,4208578.137,3766.654541
7.268916999,255078.4254,4208578.148,3766.64624
7.298465442,255078.4528,4208578.16,3766.638184
7.328013885,255078.4802,4208578.171,3766.633301
7.357562328,255078.5076,4208578.182,3766.626221
7.387110771,255078.5349,4208578.193,3766.621094
7.416659214,255078.5623,4208578.204,3766.614258
7.446207657,255078.5897,4208578.215,3766.608154
7.4757561,255078.6171,4208578.226,3766.603271
7.505304543,255078.6445,4208578.237,3766.5979
7.534852986,255078.6718,4208578.249,3766.593506
7.564401429,255078.6992,4208578.26,3766.589355
7.593949873,255078.7266,4208578.271,3766.585693
7.623498316,255078.754,4208578.282,3766.582764
7.653046759,255078.7813,4208578.293,3766.580078
7.682595202,255078.8087,4208578.304,3766.577881
7.712143645,255078.8361,4208578.315,3766.575928
7.741692088,255078.8635,4208578.326,3766.574219
7.771240531,255078.8908,4208578.337,3766.57251
7.800788974,255078.9182,4208578.349,3766.571045
7.830337417,255078.9456,4208578.36,3766.56958
7.85988586,255078.973,4208578.371,3766.567627
