x,E,N,z
5.032245072,260101.1402,4203473.465,3507.749023
5.057406297,260101.1322,4203473.441,3507.750488
5.082567523,260101.1243,4203473.417,3507.751465
5.107728748,260101.1163,4203473.394,3507.752441
5.132889973,260101.1084,4203473.37,3507.75415
5.158051199,260101.1004,4203473.346,3507.755127
5.183212424,260101.0925,4203473.322,3507.755615
5.208373649,260101.0845,4203473.298,3507.756592
5.233534875,260101.0765,4203473.274,3507.75708
5.2586961,260101.0686,4203473.25,3507.757568
5.283857326,260101.0606,4203473.226,3507.758057
5.309018551,260101.0527,4203473.203,3507.758301
5.334179776,260101.0447,4203473.179,3507.758545
5.359341002,260101.0368,4203473.155,3507.759033
5.384502227,260101.0288,4203473.131,3507.759033
5.409663452,260101.0209,4203473.107,3507.759277
5.434824678,260101.0129,4203473.083,3507.759766
5.459985903,260101.0049,4203473.059,3507.76001
5.485147128,260100.997,4203473.035,3507.760254
5.510308354,260100.989,4203473.012,3507.760986
5.535469579,260100.9811,4203472.988,3507.761719
5.560630804,260100.9731,4203472.964,3507.763184
5.58579203,260100.9652,4203472.94,3507.765137
5.610953255,260100.9572,4203472.916,3507.766846
5.636114481,260100.9492,4203472.892,3507.768555
5.661275706,260100.9413,4203472.868,3507.771484
5.686436931,260100.9333,4203472.845,3507.773926
5.711598157,260100.9254,4203472.821,3507.7771
5.736759382,260100.9174,4203472.797,3507.783691
5.761920607,260100.9095,4203472.773,3507.787109
5.787081833,260100.9015,4203472.749,3507.790283
5.812243058,260100.8935,4203472.725,3507.795898
5.837404283,260100.8856,4203472.701,3507.79834
5.862565509,260100.8776,4203472.677,3507.800293
5.887726734,260100.8697,4203472.654,3507.805908
5.91288796,260100.8617,4203472.63,3507.80957
5.938049185,260100.8538,4203472.606,3507.814453
5.96321041,260100.8458,4203472.582,3507.825928
5.988371636,260100.8378,4203472.558,3507.830811
6.013532861,260100.8299,4203472.534,3507.836426
6.038694086,260100.8219,4203472.51,3507.849609
6.063855312,260100.814,4203472.486,3507.85498
6.089016537,260100.806,4203472.463,3507.859863
6.114177762,260100.7981,4203472.439,3507.871094
6.139338988,260100.7901,4203472.415,3507.875
6.164500213,260100.7822,4203472.391,3507.878418
6.189661438,260100.7742,4203472.367,3507.885742
6.214822664,260100.7662,4203472.343,3507.890625
6.239983889,260100.7583,4203472.319,3507.896973
6.265145115,260100.7503,4203472.296,3507.913574
6.29030634,260100.7424,4203472.272,3507.924316
6.315467565,260100.7344,4203472.248,3507.93457
6.340628791,260100.7265,4203472.224,3507.94873
6.365790016,260100.7185,4203472.2,3507.957275
6.390951241,260100.7105,4203472.176,3507.964355
6.416112467,260100.7026,4203472.152,3507.973877
6.441273692,260100.6946,4203472.128,3507.980469
6.466434917,260100.6867,4203472.105,3507.987549
6.491596143,260100.6787,4203472.081,3507.998047
6.516757368,260100.6708,4203472.057,3508.008057
6.541918594,260100.6628,4203472.033,3508.018066
6.567079819,260100.6548,4203472.009,3508.033691
6.592241044,260100.6469,4203471.985,3508.049561
6.61740227,260100.6389,4203471.961,3508.070068
6.642563495,260100.631,4203471.937,3508.110352
6.66772472,260100.623,4203471.914,3508.139893
6.692885946,260100.6151,4203471.89,3508.165283
6.718047171,260100.6071,4203471.866,3508.193848
6.743208396,260100.5991,4203471.842,3508.206543
6.768369622,260100.5912,4203471.818,3508.216309
6.793530847,260100.5832,4203471.794,3508.221191
6.818692072,260100.5753,4203471.77,3508.222412
6.843853298,260100.5673,4203471.746,3508.2229
6.869014523,260100.5594,4203471.723,3508.223145
6.894175749,260100.5514,4203471.699,3508.2229
6.919336974,260100.5435,4203471.675,3508.222656
6.944498199,260100.5355,4203471.651,3508.222656
6.969659425,260100.5275,4203471.627,3508.222168
6.99482065,260100.5196,4203471.603,3508.221191
7.019981875,260100.5116,4203471.579,3508.220215
7.045143101,260100.5037,4203471.556,3508.21875
7.070304326,260100.4957,4203471.532,3508.216553
7.095465551,260100.4878,4203471.508,3508.212402
7.120626777,260100.4798,4203471.484,3508.206787
7.145788002,260100.4718,4203471.46,3508.199707
7.170949228,260100.4639,4203471.436,3508.186768
7.196110453,260100.4559,4203471.412,3508.176514
7.221271678,260100.448,4203471.388,3508.165283
7.246432904,260100.44,4203471.365,3508.148926
7.271594129,260100.4321,4203471.341,3508.141846
7.296755354,260100.4241,4203471.317,3508.13623
7.32191658,260100.4161,4203471.293,3508.131104
7.347077805,260100.4082,4203471.269,3508.12793
7.37223903,260100.4002,4203471.245,3508.123291
7.397400256,260100.3923,4203471.221,3508.114258
7.422561481,260100.3843,4203471.197,3508.107178
7.447722706,260100.3764,4203471.174,3508.099365
7.472883932,260100.3684,4203471.15,3508.087158
7.498045157,260100.3604,4203471.126,3508.079102
7.523206383,260100.3525,4203471.102,3508.072021
7.548367608,260100.3445,4203471.078,3508.065918
7.573528833,260100.3366,4203471.054,3508.064941
7.598690059,260100.3286,4203471.03,3508.064453
7.623851284,260100.3207,4203471.007,3508.064453
7.649012509,260100.3127,4203470.983,3508.064209
7.674173735,260100.3048,4203470.959,3508.063965
7.69933496,260100.2968,4203470.935,3508.064697
7.724496185,260100.2888,4203470.911,3508.065186
7.749657411,260100.2809,4203470.887,3508.065918
7.774818636,260100.2729,4203470.863,3508.068359
7.799979862,260100.265,4203470.839,3508.070801
7.825141087,260100.257,4203470.816,3508.074951
7.850302312,260100.2491,4203470.792,3508.081055
7.875463538,260100.2411,4203470.768,3508.085693
7.900624763,260100.2331,4203470.744,3508.090332
7.925785988,260100.2252,4203470.72,3508.094482
7.950947214,260100.2172,4203470.696,3508.098389
7.976108439,260100.2093,4203470.672,3508.102051
8.001269664,260100.2013,4203470.648,3508.105225
8.02643089,260100.1934,4203470.625,3508.107422
8.051592115,260100.1854,4203470.601,3508.109375
8.07675334,260100.1774,4203470.577,3508.111816
8.101914566,260100.1695,4203470.553,3508.114502
8.127075791,260100.1615,4203470.529,3508.117432
8.152237017,260100.1536,4203470.505,3508.121094
8.177398242,260100.1456,4203470.481,3508.124512
8.202559467,260100.1377,4203470.458,3508.128418
8.227720693,260100.1297,4203470.434,3508.132813
8.252881918,260100.1217,4203470.41,3508.13623
8.278043143,260100.1138,4203470.386,3508.139893
8.303204369,260100.1058,4203470.362,3508.14502
8.328365594,260100.0979,4203470.338,3508.148682
8.353526819,260100.0899,4203470.314,3508.1521
8.378688045,260100.082,4203470.29,3508.155762
8.40384927,260100.074,4203470.267,3508.156982
