x,E,N,z
5.19156912,255235.8492,4208519.726,3752.72168
5.223033176,255235.8218,4208519.741,3752.720459
5.254497231,255235.7943,4208519.757,3752.718994
5.285961286,255235.7669,4208519.772,3752.712402
5.317425341,255235.7395,4208519.788,3752.71167
5.348889397,255235.7121,4208519.803,3752.705811
5.380353452,255235.6846,4208519.818,3752.705322
5.411817507,255235.6572,4208519.834,3752.700439
5.443281563,255235.6298,4208519.849,3752.700684
5.474745618,255235.6024,4208519.865,3752.701172
5.506209673,255235.575,4208519.88,3752.697021
5.537673728,255235.5475,4208519.896,3752.697998
5.569137784,255235.5201,4208519.911,3752.69458
5.600601839,255235.4927,4208519.926,3752.695801
5.632065894,255235.4653,4208519.942,3752.692627
5.663529949,255235.4378,4208519.957,3752.69458
5.694994005,255235.4104,4208519.973,3752.696289
5.72645806,255235.383,4208519.988,3752.692871
5.757922115,255235.3556,4208520.003,3752.694824
5.789386171,255235.3281,4208520.019,3752.69165
5.820850226,255235.3007,4208520.034,3752.693604
5.852314281,255235.2733,4208520.05,3752.689941
5.883778336,255235.2459,4208520.065,3752.69165
5.915242392,255235.2185,4208520.081,3752.687988
5.946706447,255235.191,4208520.096,3752.689941
5.978170502,255235.1636,4208520.111,3752.692383
6.009634557,255235.1362,4208520.127,3752.688721
6.041098613,255235.1088,4208520.142,3752.690674
6.072562668,255235.0813,4208520.158,3752.686279
6.104026723,255235.0539,4208520.173,3752.688965
6.135490779,255235.0265,4208520.189,3752.685059
6.166954834,255234.9991,4208520.204,3752.687256
6.198418889,255234.9716,4208520.219,3752.689697
6.229882944,255234.9442,4208520.235,3752.685547
6.261347,255234.9168,4208520.25,3752.6875
6.292811055,255234.8894,4208520.266,3752.682373
6.32427511,255234.862,4208520.281,3752.68457
6.355739165,255234.8345,4208520.297,3752.679199
6.387203221,255234.8071,4208520.312,3752.680176
6.418667276,255234.7797,4208520.327,3752.674072
6.450131331,255234.7523,4208520.343,3752.676025
6.481595387,255234.7248,4208520.358,3752.677002
6.513059442,255234.6974,4208520.374,3752.670898
6.544523497,255234.67,4208520.389,3752.671387
6.575987552,255234.6426,4208520.405,3752.665527
6.607451608,255234.6151,4208520.42,3752.667236
6.638915663,255234.5877,4208520.435,3752.661621
6.670379718,255234.5603,4208520.451,3752.662109
6.701843773,255234.5329,4208520.466,3752.662109
6.733307829,255234.5054,4208520.482,3752.65625
6.764771884,255234.478,4208520.497,3752.65625
6.796235939,255234.4506,4208520.513,3752.650635
6.827699995,255234.4232,4208520.528,3752.650635
6.85916405,255234.3958,4208520.543,3752.644775
6.890628105,255234.3683,4208520.559,3752.644531
6.92209216,255234.3409,4208520.574,3752.638184
6.953556216,255234.3135,4208520.59,3752.638184
6.985020271,255234.2861,4208520.605,3752.638428
7.016484326,255234.2586,4208520.621,3752.63208
7.047948382,255234.2312,4208520.636,3752.633301
7.079412437,255234.2038,4208520.651,3752.627686
7.110876492,255234.1764,4208520.667,3752.628662
7.142340547,255234.1489,4208520.682,3752.621826
7.173804603,255234.1215,4208520.698,3752.623779
7.205268658,255234.0941,4208520.713,3752.625488
7.236732713,255234.0667,4208520.728,3752.618408
7.268196768,255234.0393,4208520.744,3752.62085
7.299660824,255234.0118,4208520.759,3752.612549
7.331124879,255233.9844,4208520.775,3752.616211
7.362588934,255233.957,4208520.79,3752.607422
7.39405299,255233.9296,4208520.806,3752.609863
7.425517045,255233.9021,4208520.821,3752.613525
7.4569811,255233.8747,4208520.836,3752.604248
7.488445155,255233.8473,4208520.852,3752.608398
7.519909211,255233.8199,4208520.867,3752.596924
7.551373266,255233.7924,4208520.883,3752.602539
7.582837321,255233.765,4208520.898,3752.589111
7.614301376,255233.7376,4208520.914,3752.594482
7.645765432,255233.7102,4208520.929,3752.580811
7.677229487,255233.6827,4208520.944,3752.583984
7.708693542,255233.6553,4208520.96,3752.588135
7.740157598,255233.6279,4208520.975,3752.573242
7.771621653,255233.6005,4208520.991,3752.577393
7.803085708,255233.5731,4208521.006,3752.5625
7.834549763,255233.5456,4208521.022,3752.565674
7.866013819,255233.5182,4208521.037,3752.550781
7.897477874,255233.4908,4208521.052,3752.554688
7.928941929,255233.4634,4208521.068,3752.556885
7.960405984,255233.4359,4208521.083,3752.54541
7.99187004,255233.4085,4208521.099,3752.546631
8.023334095,255233.3811,4208521.114,3752.534912
8.05479815,255233.3537,4208521.13,3752.535645
8.086262206,255233.3262,4208521.145,3752.525879
8.117726261,255233.2988,4208521.16,3752.526367
8.149190316,255233.2714,4208521.176,3752.518066
8.180654371,255233.244,4208521.191,3752.518555
8.212118427,255233.2166,4208521.207,3752.519043
8.243582482,255233.1891,4208521.222,3752.512207
8.275046537,255233.1617,4208521.238,3752.512939
8.306510592,255233.1343,4208521.253,3752.508545
8.337974648,255233.1069,4208521.268,3752.510254
8.369438703,255233.0794,4208521.284,3752.509277
8.400902758,255233.052,4208521.299,3752.512207
8.432366814,255233.0246,4208521.315,3752.515137
8.463830869,255232.9972,4208521.33,3752.515381
8.495294924,255232.9697,4208521.346,3752.519287
8.526758979,255232.9423,4208521.361,3752.519775
8.558223035,255232.9149,4208521.376,3752.524414
8.58968709,255232.8875,4208521.392,3752.525391
8.621151145,255232.86,4208521.407,3752.530029
8.652615201,255232.8326,4208521.423,3752.531494
8.684079256,255232.8052,4208521.438,3752.537354
8.715543311,255232.7778,4208521.453,3752.543945
8.747007366,255232.7504,4208521.469,3752.547119
8.778471422,255232.7229,4208521.484,3752.555664
8.809935477,255232.6955,4208521.5,3752.559326
8.841399532,255232.6681,4208521.515,3752.568359
8.872863587,255232.6407,4208521.531,3752.574463
8.904327643,255232.6132,4208521.546,3752.587158
8.935791698,255232.5858,4208521.561,3752.602051
8.967255753,255232.5584,4208521.577,3752.616943
8.998719809,255232.531,4208521.592,3752.631104
9.030183864,255232.5035,4208521.608,3752.643066
9.061647919,255232.4761,4208521.623,3752.654541
9.093111974,255232.4487,4208521.639,3752.663818
9.12457603,255232.4213,4208521.654,3752.672119
9.156040085,255232.3939,4208521.669,3752.680908
9.18750414,255232.3664,4208521.685,3752.689697
9.218968195,255232.339,4208521.7,3752.699951
9.250432251,255232.3116,4208521.716,3752.709473
9.281896306,255232.2842,4208521.731,3752.721924
9.313360361,255232.2567,4208521.747,3752.733887
9.344824417,255232.2293,4208521.762,3752.748535
9.376288472,255232.2019,4208521.777,3752.762207
9.407752527,255232.1745,4208521.793,3752.778564
9.439216582,255232.147,4208521.808,3752.810303
9.470680638,255232.1196,4208521.824,3752.824707
9.502144693,255232.0922,4208521.839,3752.844727
9.533608748,255232.0648,4208521.855,3752.857422
9.565072803,255232.0374,4208521.87,3752.874512
9.596536859,255232.0099,4208521.885,3752.88501
9.628000914,255231.9825,4208521.901,3752.897949
9.659464969,255231.9551,4208521.916,3752.909424
9.690929025,255231.9277,4208521.932,3752.916016
9.72239308,255231.9002,4208521.947,3752.926025
9.753857135,255231.8728,4208521.963,3752.931885
9.78532119,255231.8454,4208521.978,3752.94165
9.816785246,255231.818,4208521.993,3752.947021
9.848249301,255231.7905,4208522.009,3752.955322
9.879713356,255231.7631,4208522.024,3752.961182
9.911177411,255231.7357,4208522.04,3752.969727
9.942641467,255231.7083,4208522.055,3752.978516
9.974105522,255231.6808,4208522.071,3752.985352
10.00556958,255231.6534,4208522.086,3752.99707
10.03703363,255231.626,4208522.101,3753.007568
10.06849769,255231.5986,4208522.117,3753.023438
10.09996174,255231.5712,4208522.132,3753.036133
10.1314258,255231.5437,4208522.148,3753.052246
10.16288985,255231.5163,4208522.163,3753.067627
10.19435391,255231.4889,4208522.178,3753.078125
10.22581796,255231.4615,4208522.194,3753.09082
10.25728202,255231.434,4208522.209,3753.101074
10.28874607,255231.4066,4208522.225,3753.113525
10.32021013,255231.3792,4208522.24,3753.123291
10.35167419,255231.3518,4208522.256,3753.134521
10.38313824,255231.3243,4208522.271,3753.144287
10.4146023,255231.2969,4208522.286,3753.15332
10.44606635,255231.2695,4208522.302,3753.162842
10.47753041,255231.2421,4208522.317,3753.170898
10.50899446,255231.2147,4208522.333,3753.177979
10.54045852,255231.1872,4208522.348,3753.183838
10.57192257,255231.1598,4208522.364,3753.186768
10.60338663,255231.1324,4208522.379,3753.190186
10.63485068,255231.105,4208522.394,3753.190674
10.66631474,255231.0775,4208522.41,3753.1875
10.69777879,255231.0501,4208522.425,3753.187012
10.72924285,255231.0227,4208522.441,3753.179199
10.7607069,255230.9953,4208522.456,3753.177246
10.79217096,255230.9678,4208522.472,3753.165771
10.82363501,255230.9404,4208522.487,3753.161865
10.85509907,255230.913,4208522.502,3753.14502
10.88656313,255230.8856,4208522.518,3753.127441
10.91802718,255230.8581,4208522.533,3753.119629
10.94949124,255230.8307,4208522.549,3753.102783
10.98095529,255230.8033,4208522.564,3753.097168
11.01241935,255230.7759,4208522.58,3753.083252
11.0438834,255230.7485,4208522.595,3753.077393
11.07534746,255230.721,4208522.61,3753.068115
11.10681151,255230.6936,4208522.626,3753.064941
