x,E,N,z,base_h,base_z
4.85,255021.7209,4208458.848,3782.209229,37.52891963,3744.680309
4.88,255021.6935,4208458.822,3782.218994,37.52293195,3744.696062
4.92,255021.6661,4208458.797,3782.228271,37.51494836,3744.713323
4.96,255021.6387,4208458.771,3782.239258,37.50696478,3744.732293
5,255021.6113,4208458.745,3782.25,37.4989812,3744.751019
5.03,255021.5839,4208458.719,3782.257324,37.49299351,3744.76433
5.07,255021.5565,4208458.694,3782.267578,37.48500993,3744.782568
5.11,255021.5291,4208458.668,3782.276855,37.47702635,3744.799829
5.15,255021.5017,4208458.642,3782.2854,37.46904276,3744.816357
5.18,255021.4743,4208458.617,3782.294189,37.46305508,3744.831134
5.22,255021.4468,4208458.591,3782.302979,37.45507149,3744.847908
5.26,255021.4194,4208458.565,3782.311768,37.44708791,3744.86468
5.3,255021.392,4208458.54,3782.32251,37.43910433,3744.883406
5.33,255021.3646,4208458.514,3782.335205,37.43311664,3744.902088
5.37,255021.3372,4208458.488,3782.348877,37.42513306,3744.923744
5.41,255021.3098,4208458.463,3782.364746,37.41714948,3744.947597
5.45,255021.2824,4208458.437,3782.382568,37.40916589,3744.973402
5.49,255021.255,4208458.411,3782.401855,37.40118231,3745.000673
5.52,255021.2276,4208458.385,3782.419922,37.39519462,3745.024727
5.56,255021.2002,4208458.36,3782.44043,37.38721104,3745.053219
5.6,255021.1728,4208458.334,3782.456543,37.37922746,3745.077316
5.64,255021.1454,4208458.308,3782.467529,37.37124388,3745.096285
5.67,255021.1179,4208458.283,3782.485596,37.36525619,3745.12034
5.71,255021.0905,4208458.257,3782.500732,37.35727261,3745.143459
5.75,255021.0631,4208458.231,3782.515137,37.34928902,3745.165848
5.79,255021.0357,4208458.206,3782.529297,37.34130544,3745.187992
5.82,255021.0083,4208458.18,3782.544189,37.33531775,3745.208871
5.86,255020.9809,4208458.154,3782.558838,37.32733417,3745.231504
5.9,255020.9535,4208458.128,3782.575928,37.31935059,3745.256577
5.94,255020.9261,4208458.103,3782.593018,37.31136701,3745.281651
5.97,255020.8987,4208458.077,3782.61084,37.30537932,3745.305461
6.01,255020.8713,4208458.051,3782.629639,37.29739574,3745.332243
6.05,255020.8439,4208458.026,3782.64624,37.28941215,3745.356828
