x,E,N,z,h
10.89265991,255016.6176,4208455.779,3783.45459,35.8008691839504
10.92244698,255016.5902,4208455.768,3783.457764,35.7916864546003
10.95223404,255016.5627,4208455.756,3783.466553,35.7825037283331
10.98202111,255016.5353,4208455.744,3783.469971,35.773320998983
11.01180818,255016.5078,4208455.733,3783.476563,35.7641382696329
11.04159525,255016.4803,4208455.721,3783.480225,35.7549555402828
11.07138232,255016.4529,4208455.71,3783.482666,35.7457728109328
11.10116938,255016.4254,4208455.698,3783.489746,35.7365900846655
11.13095645,255016.398,4208455.687,3783.493408,35.7274073553154
11.16074352,255016.3705,4208455.675,3783.502441,35.7182246259653
11.19053059,255016.3431,4208455.664,3783.508545,35.7090418966153
11.22031766,255016.3156,4208455.652,3783.519043,35.6998591672652
11.25010473,255016.2882,4208455.64,3783.525391,35.6906764379151
11.27989179,255016.2607,4208455.629,3783.531738,35.6814937116479
11.30967886,255016.2333,4208455.617,3783.543701,35.6723109822978
11.33946593,255016.2058,4208455.606,3783.551758,35.6631282529477
11.369253,255016.1784,4208455.594,3783.564941,35.6539455235976
11.39904007,255016.1509,4208455.583,3783.573486,35.6447627942476
11.42882713,255016.1235,4208455.571,3783.580811,35.6355800679803
11.4586142,255016.096,4208455.559,3783.593262,35.6263973386302
11.48840127,255016.0686,4208455.548,3783.602295,35.6171630826284
11.51818834,255016.0411,4208455.536,3783.615234,35.6076316293915
11.54797541,255016.0136,4208455.525,3783.624268,35.5981001761545
11.57776248,255015.9862,4208455.513,3783.634766,35.5885687229176
11.60754954,255015.9587,4208455.502,3783.643066,35.5790372728805
11.63733661,255015.9313,4208455.49,3783.649658,35.5695058196435
11.66712368,255015.9038,4208455.479,3783.657959,35.5599743664066
11.69691075,255015.8764,4208455.467,3783.664551,35.5504429131696
11.72669782,255015.8489,4208455.455,3783.673096,35.5409114599327
11.75648488,255015.8215,4208455.444,3783.680176,35.5313800098956
11.78627195,255015.794,4208455.432,3783.688965,35.5218485566586
11.81605902,255015.7666,4208455.421,3783.696289,35.5123171034217
11.84584609,255015.7391,4208455.409,3783.703125,35.5027856501847
11.87563316,255015.7117,4208455.398,3783.712891,35.4932541969478
11.90542023,255015.6842,4208455.386,3783.721191,35.4837227437108
11.93520729,255015.6568,4208455.375,3783.732422,35.4741912936738
11.96499436,255015.6293,4208455.363,3783.73999,35.4646598404368
11.99478143,255015.6019,4208455.351,3783.751221,35.4551283871999
12.0245685,255015.5744,4208455.34,3783.759033,35.4455969339629
12.05435557,255015.5469,4208455.328,3783.766602,35.436065480726
12.08414263,255015.5195,4208455.317,3783.776855,35.4265340306889
12.1139297,255015.492,4208455.305,3783.784424,35.4170025774519
12.14371677,255015.4646,4208455.294,3783.797119,35.407471124215
12.17350384,255015.4371,4208455.282,3783.804688,35.397939670978
12.20329091,255015.4097,4208455.27,3783.813721,35.3884082177411
12.23307798,255015.3822,4208455.259,3783.827881,35.3788767645041
12.26286504,255015.3548,4208455.247,3783.837891,35.369345314467
12.29265211,255015.3273,4208455.236,3783.853027,35.3598138612301
12.32243918,255015.2999,4208455.224,3783.863281,35.3502824079931
12.35222625,255015.2724,4208455.213,3783.881592,35.3407509547562
12.38201332,255015.245,4208455.201,3783.892578,35.3312195015192
12.41180038,255015.2175,4208455.19,3783.902588,35.3216880514821
12.44158745,255015.1901,4208455.178,3783.92041,35.3121565982452
12.47137452,255015.1626,4208455.166,3783.930908,35.3026251450082
12.50116159,255015.1352,4208455.155,3783.948975,35.2930936917713
12.53094866,255015.1077,4208455.143,3783.956543,35.2835622385343
12.56073573,255015.0803,4208455.132,3783.973145,35.2740307852974
12.59052279,255015.0528,4208455.12,3783.981201,35.2644993352603
12.62030986,255015.0253,4208455.109,3783.98584,35.2549678820233
12.65009693,255014.9979,4208455.097,3784,35.2454364287864
12.679884,255014.9704,4208455.086,3784.004395,35.2359049755494
12.70967107,255014.943,4208455.074,3784.016846,35.2263735223125
12.73945813,255014.9155,4208455.062,3784.02002,35.2168420722754
12.7692452,255014.8881,4208455.051,3784.022217,35.2073106190385
12.79903227,255014.8606,4208455.039,3784.032715,35.1977791658015
12.82881934,255014.8332,4208455.028,3784.034668,35.1882477125646
12.85860641,255014.8057,4208455.016,3784.04248,35.1787162593276
12.88839348,255014.7783,4208455.005,3784.044189,35.1691848060907
12.91818054,255014.7508,4208454.993,3784.050781,35.1596533560536
12.94796761,255014.7234,4208454.982,3784.051514,35.1501219028166
12.97775468,255014.6959,4208454.97,3784.052734,35.1405904495797
13.00754175,255014.6685,4208454.958,3784.059082,35.1310589963427
13.03732882,255014.641,4208454.947,3784.059082,35.1215275431058
13.06711588,255014.6136,4208454.935,3784.063965,35.1119960930687
13.09690295,255014.5861,4208454.924,3784.063232,35.1024646398317
13.12669002,255014.5586,4208454.912,3784.067627,35.0929331865948
13.15647709,255014.5312,4208454.901,3784.067139,35.0834017333578
13.18626416,255014.5037,4208454.889,3784.067139,35.0738702801209
13.21605123,255014.4763,4208454.877,3784.070557,35.0643388268839
13.24583829,255014.4488,4208454.866,3784.070313,35.0548073768468
13.27562536,255014.4214,4208454.854,3784.07373,35.0452759236099
13.30541243,255014.3939,4208454.843,3784.073486,35.0357444703729
13.3351995,255014.3665,4208454.831,3784.077148,35.026213017136
13.36498657,255014.339,4208454.82,3784.076904,35.016681563899
13.39477363,255014.3116,4208454.808,3784.076904,35.0071501138619
13.4245607,255014.2841,4208454.797,3784.07959,34.997618660625
13.45434777,255014.2567,4208454.785,3784.079346,34.988087207388
13.48413484,255014.2292,4208454.773,3784.081787,34.9785557541511
13.51392191,255014.2018,4208454.762,3784.081787,34.9690243009141
13.54370898,255014.1743,4208454.75,3784.081787,34.9594928476772
13.57349604,255014.1469,4208454.739,3784.084229,34.9499613976401
13.60328311,255014.1194,4208454.727,3784.084229,34.9404299444032
13.63307018,255014.092,4208454.716,3784.086426,34.9308984911662
13.66285725,255014.0645,4208454.704,3784.086914,34.9213670379293
13.69264432,255014.037,4208454.693,3784.089355,34.9118355846923
13.72243138,255014.0096,4208454.681,3784.090088,34.9023041346552
13.75221845,255013.9821,4208454.669,3784.091064,34.8927726814183
