x,E,N,z,h
11.956341,255229.9806,4208523.027,3753.065918,37.6314809239926
11.98780506,255229.9532,4208523.042,3753.063477,37.6356396953479
12.01926911,255229.9258,4208523.058,3753.062256,37.6397984653814
12.05073317,255229.8983,4208523.073,3753.058594,37.6439572367366
12.08219723,255229.8709,4208523.089,3753.056152,37.6481160080919
12.11366128,255229.8435,4208523.104,3753.051758,37.6522747781254
12.14512534,255229.8161,4208523.119,3753.049316,37.6564335494807
12.17658939,255229.7886,4208523.135,3753.046875,37.6605923195142
12.20805345,255229.7612,4208523.15,3753.042725,37.6647510908694
12.2395175,255229.7338,4208523.166,3753.040527,37.6689098609029
12.27098156,255229.7064,4208523.181,3753.037354,37.6730686322582
12.30244561,255229.6789,4208523.197,3753.035645,37.6772274022917
12.33390967,255229.6515,4208523.212,3753.033203,37.6813861736469
12.36537372,255229.6241,4208523.227,3753.031738,37.6855449436805
12.39683778,255229.5967,4208523.243,3753.030029,37.6897037150357
12.42830183,255229.5693,4208523.258,3753.027588,37.6938624850692
12.45976589,255229.5418,4208523.274,3753.025635,37.6980212564245
12.49122994,255229.5144,4208523.289,3753.023193,37.702180026458
12.522694,255229.487,4208523.305,3753.021484,37.7063387978132
12.55415805,255229.4596,4208523.32,3753.019287,37.7104975678468
12.58562211,255229.4321,4208523.335,3753.017822,37.714656339202
12.61708617,255229.4047,4208523.351,3753.016357,37.7188151105573
12.64855022,255229.3773,4208523.366,3753.01416,37.7229738805908
12.68001428,255229.3499,4208523.382,3753.011963,37.727132651946
12.71147833,255229.3224,4208523.397,3753.009033,37.7312914219795
12.74294239,255229.295,4208523.413,3753.006348,37.7354501933348
12.77440644,255229.2676,4208523.428,3753.002686,37.7396089633683
12.8058705,255229.2402,4208523.443,3752.999756,37.7437677347236
12.83733455,255229.2128,4208523.459,3752.996094,37.7479265047571
12.86879861,255229.1853,4208523.474,3752.993896,37.7520852761123
12.90026266,255229.1579,4208523.49,3752.992676,37.7562440461458
12.93172672,255229.1305,4208523.505,3752.991943,37.7604028175011
12.96319077,255229.1031,4208523.521,3752.991455,37.7645615875346
12.99465483,255229.0756,4208523.536,3752.991211,37.7687203588899
13.02611888,255229.0482,4208523.551,3752.990967,37.7728791289234
13.05758294,255229.0208,4208523.567,3752.990967,37.7770379002786
